query,mode,total_weight,growbuffer_stack_percent,register_update_stack_percent,selective_claim_stack_percent,metrics_trace_stack_percent,static_getbuffer_stack_percent,mutex_stack_percent,unknown_stack_percent
q00,dynamic,48566622052,0.0,0.0,0.0,0.0,0.0,0.036044821032141565,82.93190805585657
q00,legacy,48716883344,0.0,0.0,0.0,0.0,0.0,0.04768596512211235,82.97594462799016
q00,selective-4,51755568266,0.0,0.0,0.0,0.0,0.0,1.1168262534172984,84.03531562529864
q00,selective-all,51194611708,0.0,0.0,0.31209671812987355,0.13474792306945102,0.0,2.1146108797048093,84.66430714861121
q00,selective-base,55658835005,0.0,0.0,0.16055142906238054,0.16055142906238054,0.0,1.8631345929300231,84.70550677851006
q00,selective-gate-cost,52342994126,0.0,0.035320340971508754,0.11861298161612162,0.22468988441297558,0.0,1.638943465738569,85.4572027124087
q00,selective-gate,60005577793,0.0,0.0,0.0,0.026838268361576677,0.0,1.0115321147208538,86.73176302965493
q00,static-locked,107508114712,0.0,0.0,0.0,0.0,0.03149277251368344,0.0004181600628048413,92.68527131271307
q00,static-lockfree,108336934315,0.0,0.0,0.0,0.0,0.0,0.006176882373782906,92.37987238406009
q01,dynamic,39201297257,0.0,0.0,0.0,0.0,0.0,0.42554637645368165,80.10685366386063
q01,legacy,39851127566,0.0,0.0,0.0,0.0,0.0,0.12790671459817934,81.9262488568954
q01,selective-4,42809356866,0.0,0.0,0.0650529137524091,0.0,0.0,1.5036220095874215,80.80636878120018
q01,selective-all,45161248206,0.0,0.0,0.06543713731117329,0.061911785237781125,0.0,2.0723059662369154,84.85146220539784
q01,selective-base,48079871648,0.0,0.08098441752312724,0.1686496224317042,0.29052127888908463,0.0,1.4175458557580216,84.31255022846187
q01,selective-gate-cost,46330909980,0.0,0.0,0.28167836560157283,0.3131032286277577,0.0,1.2497482657904835,84.34884399825035
q01,selective-gate,46230514529,0.0,0.0,0.2608802178144583,0.17700059762187986,0.0,1.5572952482464464,84.67812691429887
q01,static-locked,99350175802,0.0,0.0,0.0,0.0,0.016041869952764756,0.03503594303584441,92.7395418178467
q01,static-lockfree,99558283650,0.0,0.0,0.0,0.0,0.0,0.02378972108766361,92.80479485646497
q02,dynamic,33580743326,0.0,0.0,0.0,0.0,0.0,0.25804996083248405,82.9939913611786
q02,legacy,33900582330,0.0,0.0,0.0,0.0,0.0,0.12124301759745022,81.34283103920947
q02,selective-4,34243788711,0.0,0.0,0.0,0.0,0.0,0.6172609543409001,81.21204979011763
q02,selective-all,36165451770,0.0,0.0,0.07044954992414851,0.06606114075925451,0.0,0.6386519860691899,84.52920459121366
q02,selective-base,36808724908,0.0,0.0,0.08045571280727397,0.23803484966945218,0.0,0.34077111693901224,82.62893843516346
q02,selective-gate-cost,35545594175,0.0,0.008149400979875447,0.09711048246951973,0.13022258053167007,0.0,0.4400969589362618,83.44146408406465
q02,selective-gate,35406829021,0.0,0.0,0.2588785822803717,0.16142878529478016,0.0,0.40311944883667755,83.76211089225177
q02,static-locked,90356993711,0.0,0.0,0.0,0.0,0.019687946963904274,0.015374569725540566,93.97823446472455
q02,static-lockfree,94314627558,0.0,0.0,0.0,0.0,0.045403186238175144,0.018113348313329506,94.0419570988134
q03,dynamic,75264856449,0.0,0.0,0.0,0.0,0.0,0.0027177358683810756,53.1528991490311
q03,legacy,74839057361,0.0,0.0,0.0,0.0,0.0,0.010094400258890508,51.40739363460888
q03,selective-4,78717750985,0.0,0.0,0.0,0.0,0.0,0.6902928401797759,54.09048957091466
q03,selective-all,77417670421,0.0,0.0,0.15582681491701972,0.17314256715691623,0.0,0.6585914265145543,54.40903194185252
q03,selective-base,81279638447,0.0,0.0,0.18603164813361808,0.12105368562159446,0.0,0.6574336613817984,54.750439778368026
q03,selective-gate-cost,78971922490,0.0,0.0,0.17008806771420412,0.07544814045465946,0.0,0.7503681603737541,53.55240671056886
q03,selective-gate,79350519972,0.0,0.0,0.07898928453413664,0.14455949128055703,0.0,0.6800294102551668,54.4135925640258
q03,static-locked,136398887296,0.0,0.0,0.0,0.0,0.03566445882687679,0.012028792408250936,72.91422830757693
q03,static-lockfree,136976919227,0.0,0.0,0.0,0.0,0.04346102857032685,0.01609430123294417,73.01172643200084
q04,dynamic,54694876461,0.0,6.572827717351922e-06,0.0,0.0,0.0,0.0732074896056323,67.85266759028616
q04,legacy,54997563432,0.0,0.0,0.0,0.0,0.0,0.03007066671316822,70.46749721361365
q04,selective-4,59986087255,0.0,0.0,0.027744096609022946,0.0,0.0,0.8783095149385403,71.95727609888765
q04,selective-all,57928211655,0.0,0.0,0.02261430765033687,0.07098182185372351,0.0,1.302403451522536,71.56031244306847
q04,selective-base,61218064630,0.0,0.0,0.08227770724936752,0.16232768481103158,0.0,1.074346410614386,70.76488970997383
q04,selective-gate-cost,57920426405,0.0,0.0,0.11981518836679221,0.16552547684925836,0.0,0.9207138553696219,70.21113238815771
q04,selective-gate,59059774303,0.0,0.0,0.14095497990376057,0.11458098985075629,0.0,1.3856009418553297,70.85944286257494
q04,static-locked,115755181398,0.0,0.0,0.0,0.0,0.021201328271966257,0.027474989556320197,84.69043907843059
q04,static-lockfree,113773703820,0.0,0.0,0.0,0.0,0.01286120738685819,0.03864455803386713,84.60412482069444
q05,dynamic,111813298500,0.0,0.0,0.0,0.0,0.0,0.029276823454054527,89.72200515129245
q05,legacy,111100327570,0.0,0.0,0.0,0.0,0.0,0.12846337911116926,90.53686456561003
q05,selective-4,111715282943,0.0,0.0,0.0,0.0,0.0,0.5507457939429157,89.62298283851199
q05,selective-all,116481387562,0.0,0.0,0.0,0.0,0.0,0.5100534698590938,90.48910087192837
q05,selective-base,113430319908,0.0,0.0,0.054450678663424935,0.012238844967782632,0.0,0.4317838867044025,90.2154550749731
q05,selective-gate-cost,115740760915,0.0,0.0,0.05100629418131729,0.0749768882751085,0.0,0.6286538020381218,90.6130198530672
q05,selective-gate,113711908690,0.0,0.0,0.038308233061811955,0.05775566671652884,0.0,0.39180627704931015,89.28204699630392
q05,static-locked,172046140890,0.0,0.0,0.0,0.0,0.011428695173448595,0.09646727159437653,93.62633580255019
q05,static-lockfree,172748646717,0.0,0.0,0.0,0.0,0.011711454986471423,0.07318383234984772,93.34424936952718
q06,dynamic,345779104587,0.8147222870406825,0.8147222870406825,0.0,0.0,0.0,0.15274093113024284,73.8785524524735
q06,legacy,357412908009,0.0,0.0,0.0,0.0,0.0,0.12523737055090597,72.2412234788393
q06,selective-4,350514567673,0.6262265302045195,0.6262265302045195,0.004387430200717619,0.0,0.0,0.1980933587467227,73.08480558331239
q06,selective-all,345374280112,0.8014292972546766,0.805728358839455,0.02923328916306643,0.021379376013771233,0.0,0.26298618551023994,72.70285312402903
