query,mode,repeats,transfers,executed_bytes_cv,executed_files_cv,executed_bytes_max_min,peak_buffer_cv,queue_wait_p50_ms,queue_wait_p95_ms,queue_wait_max_ms,enqueue_demand_p50_mib,enqueue_demand_p95_mib,max_total_queue_mib,max_total_queue_depth,adaptive_limit_changes
q00,selective-all,3,0.0,0.2367931514171421,0.23680446571057046,2.033707865168539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00,selective-base,3,84.0,0.19820240634615266,0.19822438728583258,1.9633150007970668,0.0,2.071794,7.877681399999998,26.749908,1.1953125,1.1953125,13.1484375,11.0,0.0
q00,selective-gate,3,0.0,0.21396519027188288,0.21399120619344383,2.1099476439790577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00,selective-gate-cost,3,0.0,0.20178987292052503,0.2017879674040613,2.0591397849462365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01,selective-all,3,0.0,0.2415922593719176,0.2416115884389007,2.143839945107528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01,selective-base,3,81.0,0.19974784693346012,0.19976793176708818,1.9760932150638033,0.0,1.737249,7.255745,31.081361,1.1953125,1.1953125,13.1484375,11.0,0.0
q01,selective-gate,3,0.0,0.2122267214644887,0.21224493538752873,2.2633530114554783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01,selective-gate-cost,3,0.0,0.23033098084605272,0.2303409338367396,2.2658959537572256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q02,selective-all,3,0.0,0.17598215434207096,0.17604494110613486,2.1345626011682737,0.002556382065960059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q02,selective-base,3,95.0,0.19704530421155803,0.19706402136266526,2.3757704981585577,0.0024374095322853653,1.339918,4.437504499999999,17.460704,0.6015625,0.6015625,5.99609375,10.0,0.0
q02,selective-gate,3,0.0,0.1591700716175584,0.15923515617142306,2.0386445772354813,0.0025769172672512664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q02,selective-gate-cost,3,0.0,0.16972955113474417,0.1696922838298968,2.037919439078486,0.0026101788288228982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q03,selective-all,3,0.0,0.21176316547990748,0.21182178650526307,2.0926804233178777,0.0014507448295082177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q03,selective-base,3,107.0,0.2826109043269187,0.2826144204468895,2.17019967448692,0.0015184681881793523,7.640956,38.0739388,49.860114,1.19921875,1.203125,43.1875,36.0,0.0
q03,selective-gate,3,0.0,0.24434172701222137,0.24434147987818705,2.0530051161909357,0.0018663498111902732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q03,selective-gate-cost,3,0.0,0.28053614553226164,0.2804535162993816,2.1106594236788143,0.0016841957924483273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q04,selective-all,3,0.0,0.22575110447707758,0.2257501600566985,1.9300694935708045,0.000754522177952555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q04,selective-base,3,133.0,0.2789209442695866,0.27895603109658024,2.1113297494674916,0.0009591790303669933,6.407756,16.8019656,46.585151,1.1953125,1.19921875,49.05859375,41.0,0.0
q04,selective-gate,3,0.0,0.2579478003100828,0.25802252335521747,2.163941384910675,0.000661203062533679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q04,selective-gate-cost,3,0.0,0.20235197749434353,0.20236787983536936,2.1384241160628963,0.000661203062533679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q05,selective-all,3,0.0,0.1392159223341729,0.13919959008167462,1.6053419462539238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q05,selective-base,3,102.0,0.17195681565481674,0.17195931880598606,1.9577688326624496,0.0006842668996313813,15.691394,62.59912489999999,72.295586,1.1953125,1.19921875,55.02734375,46.0,0.0
q05,selective-gate,3,0.0,0.15414616822440333,0.1541756842098082,1.7050483310678146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q05,selective-gate-cost,3,0.0,0.14142994758698024,0.1414440125682464,1.6357645903744122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q06,selective-all,3,0.0,0.07216875416738962,0.07840963773071839,1.4226433977606805,0.04288414529467753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
q06,selective-base,3,565.0,0.07869727928841995,0.1057346185991726,1.4619922669111491,0.06369304361550968,20.001762,158.77401820000006,314.015485,4.203125,5.64453125,128.9296875,52.0,0.0
q06,selective-gate,3,0.0,0.08976505381014828,0.09520998585363827,1.470709519406193,0.037843808527234964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q06,selective-gate-cost,3,0.0,0.06689998960264454,0.0910667439599591,1.4160826538868487,0.04519169060310918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q07,selective-all,3,0.0,0.24040606121272085,0.24031407468599814,2.0995538605454414,0.002084666787910067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q07,selective-base,3,150.0,0.26922453100043925,0.26920383192852215,2.202485117263974,0.0022130388338822125,5.992336,33.49388814999999,47.751371,0.6015625,0.6015625,18.6328125,31.0,0.0
q07,selective-gate,3,0.0,0.23703977742953747,0.23698610623996766,2.1658345702334367,0.0021620893351292606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q07,selective-gate-cost,3,0.0,0.20015188838976658,0.20016853860598635,2.161292581311487,0.0020815436695489843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q08,selective-all,3,0.0,0.15702211234788213,0.15699432090644233,2.0270434627079235,0.0024996276268182487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q08,selective-base,3,93.0,0.20090759583973475,0.2009286302474712,2.3996476850610806,0.0022822409195874193,1.42503,5.652713799999997,33.22476,0.6015625,0.6015625,4.80859375,8.0,0.0
q08,selective-gate,3,0.0,0.1752092575310261,0.17517952566135545,2.140846061800521,0.0025986663327924966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q08,selective-gate-cost,3,0.0,0.170911977437999,0.17092064587843095,2.2748310751671745,0.002585353920923299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q09,selective-all,3,0.0,0.18201160470211558,0.18203041174699697,1.6548152368128026,0.0006449407051876501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q09,selective-base,3,78.0,0.16852854110883814,0.16855004791557832,1.6265363348096125,0.0004945129627168348,63.113886,320.2936944999999,341.762909,1.796875,1.796875,109.55859375,61.0,0.0
q09,selective-gate,3,0.0,0.18123550586965148,0.1812516837206278,1.634830636883523,0.0005706840347562722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q09,selective-gate-cost,3,0.0,0.1747461070918344,0.17476092765815102,1.6708180805347763,0.0005951923024615207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q10,selective-all,3,0.0,0.044096387882190675,0.0440904720610077,1.3372244639729653,0.0005526201737429451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q10,selective-base,3,79.0,0.04839048065339075,0.04839653005220261,1.2964498790851406,0.0006481378927092358,128.828846,212.68588749999975,406.993653,2.99609375,3.0,221.6796875,74.0,0.0
q10,selective-gate,3,0.0,0.052098282360935076,0.0520953762118698,1.4396820254678662,0.0005291438634792734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q10,selective-gate-cost,3,0.0,0.034060435464805194,0.034049416925532656,1.2769805371797327,0.0005378865812455965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
