stage,query,before,after,before_seconds,after_seconds,ratio,change_percent
adaptive_queue,q06,selective-gate-cost,selective-all,4.5,4.53,1.0066666666666668,0.6666666666666821
adaptive_queue,q07,selective-gate-cost,selective-all,1.71,1.62,0.9473684210526316,-5.263157894736836
adaptive_queue,q08,selective-gate-cost,selective-all,1.4,1.41,1.0071428571428571,0.7142857142857117
adaptive_queue,q09,selective-gate-cost,selective-all,3.66,3.67,1.0027322404371584,0.2732240437158362
adaptive_queue,q10,selective-gate-cost,selective-all,3.89,3.89,1.0,0.0
adaptive_queue,q11,selective-gate-cost,selective-all,1.84,1.85,1.0054347826086956,0.5434782608695565
adaptive_queue,q12,selective-gate-cost,selective-all,1.9,1.92,1.0105263157894737,1.0526315789473717
adaptive_queue,q13,selective-gate-cost,selective-all,4.67,4.77,1.0214132762312633,2.1413276231263323
adaptive_queue,q14,selective-gate-cost,selective-all,5.49,5.42,0.9872495446265938,-1.2750455373406244
adaptive_queue,q15,selective-gate-cost,selective-all,4.9,4.82,0.9836734693877551,-1.6326530612244872
adaptive_queue,q16,selective-gate-cost,selective-all,1.79,1.95,1.089385474860335,8.93854748603351
adaptive_queue,q17,selective-gate-cost,selective-all,6.15,6.11,0.9934959349593496,-0.6504065040650375
adaptive_queue,q18,selective-gate-cost,selective-all,5.55,5.7,1.0270270270270272,2.7027027027027195
adaptive_queue,q19,selective-gate-cost,selective-all,13.63,14.04,1.0300807043286866,3.008070432868659
adaptive_queue,q20,selective-gate-cost,selective-all,1.19,1.2,1.0084033613445378,0.8403361344537785
adaptive_queue,q21,selective-gate-cost,selective-all,9.52,10.9,1.1449579831932775,14.495798319327747
adaptive_queue,q22,selective-gate-cost,selective-all,8.65,10.48,1.2115606936416186,21.156069364161855
adaptive_queue,q23,selective-gate-cost,selective-all,12.31,13.42,1.09017059301381,9.017059301380993
adaptive_queue,q24,selective-gate-cost,selective-all,38.03,38.24,1.0055219563502498,0.5521956350249768
adaptive_queue,q25,selective-gate-cost,selective-all,2.36,2.34,0.9915254237288136,-0.8474576271186418
adaptive_queue,q26,selective-gate-cost,selective-all,2.22,2.23,1.0045045045045045,0.45045045045044585
adaptive_queue,q27,selective-gate-cost,selective-all,2.38,2.4,1.0084033613445378,0.8403361344537785
adaptive_queue,q28,selective-gate-cost,selective-all,9.11,10.73,1.1778265642151484,17.782656421514844
adaptive_queue,q29,selective-gate-cost,selective-all,53.01,52.68,0.9937747594793436,-0.6225240520656428
adaptive_queue,q30,selective-gate-cost,selective-all,1.76,1.61,0.9147727272727273,-8.52272727272727
adaptive_queue,q31,selective-gate-cost,selective-all,4.15,4.23,1.0192771084337349,1.9277108433734869
adaptive_queue,q32,selective-gate-cost,selective-all,7.42,8.35,1.1253369272237197,12.53369272237197
adaptive_queue,q33,selective-gate-cost,selective-all,36.99,38.52,1.0413625304136254,4.1362530413625365
adaptive_queue,q34,selective-gate-cost,selective-all,26.8,29.07,1.0847014925373135,8.470149253731352
adaptive_queue,q35,selective-gate-cost,selective-all,26.93,28.61,1.0623839584106944,6.238395841069444
adaptive_queue,q36,selective-gate-cost,selective-all,4.15,4.23,1.0192771084337349,1.9277108433734869
adaptive_queue,q37,selective-gate-cost,selective-all,8.29,10.18,1.2279855247285887,22.79855247285887
adaptive_queue,q38,selective-gate-cost,selective-all,6.3,6.33,1.0047619047619047,0.4761904761904745
adaptive_queue,q39,selective-gate-cost,selective-all,7.78,10.13,1.302056555269923,30.205655526992302
adaptive_queue,q40,selective-gate-cost,selective-all,9.94,11.54,1.1609657947686116,16.096579476861162
adaptive_queue,q41,selective-gate-cost,selective-all,1.45,1.48,1.0206896551724138,2.0689655172413834
adaptive_queue,q42,selective-gate-cost,selective-all,1.36,1.4,1.0294117647058822,2.941176470588225
adaptive_queue,q43,selective-gate-cost,selective-all,1.45,1.44,0.993103448275862,-0.6896551724137945
static_lockfree,q00,static-locked,static-lockfree,1.34,1.32,0.9850746268656716,-1.4925373134328401
static_lockfree,q01,static-locked,static-lockfree,1.23,1.24,1.008130081300813,0.8130081300812941
static_lockfree,q02,static-locked,static-lockfree,1.32,1.31,0.9924242424242424,-0.7575757575757569
static_lockfree,q03,static-locked,static-lockfree,1.65,1.62,0.9818181818181819,-1.8181818181818077
static_lockfree,q04,static-locked,static-lockfree,1.46,1.41,0.9657534246575342,-3.424657534246578
static_lockfree,q05,static-locked,static-lockfree,1.87,1.85,0.9893048128342246,-1.0695187165775444
static_lockfree,q06,static-locked,static-lockfree,4.47,4.48,1.0022371364653246,0.22371364653246406
static_lockfree,q07,static-locked,static-lockfree,1.49,1.49,1.0,0.0
static_lockfree,q08,static-locked,static-lockfree,1.35,1.37,1.0148148148148148,1.4814814814814836
static_lockfree,q09,static-locked,static-lockfree,3.66,3.6,0.9836065573770492,-1.6393442622950838
static_lockfree,q10,static-locked,static-lockfree,3.83,3.81,0.9947780678851175,-0.5221932114882533
static_lockfree,q11,static-locked,static-lockfree,1.73,1.73,1.0,0.0
static_lockfree,q12,static-locked,static-lockfree,1.78,1.8,1.0112359550561798,1.1235955056179803
static_lockfree,q13,static-locked,static-lockfree,4.91,4.96,1.010183299389002,1.0183299389002087
static_lockfree,q14,static-locked,static-lockfree,5.33,5.32,0.9981238273921201,-0.18761726078798668
static_lockfree,q15,static-locked,static-lockfree,5.0,4.93,0.986,-1.4000000000000012
static_lockfree,q16,static-locked,static-lockfree,1.79,1.81,1.011173184357542,1.1173184357541999
static_lockfree,q17,static-locked,static-lockfree,5.8,5.8,1.0,0.0
static_lockfree,q18,static-locked,static-lockfree,5.43,5.5,1.0128913443830572,1.2891344383057168
static_lockfree,q19,static-locked,static-lockfree,12.55,12.79,1.0191235059760955,1.9123505976095467
static_lockfree,q20,static-locked,static-lockfree,1.18,1.18,1.0,0.0
static_lockfree,q21,static-locked,static-lockfree,3.24,3.24,1.0,0.0
static_lockfree,q22,static-locked,static-lockfree,2.77,2.76,0.9963898916967509,-0.3610108303249149
static_lockfree,q23,static-locked,static-lockfree,4.8,4.81,1.0020833333333332,0.2083333333333215
static_lockfree,q24,static-locked,static-lockfree,28.63,28.59,0.9986028641285365,-0.13971358714635063
static_lockfree,q25,static-locked,static-lockfree,1.66,1.66,1.0,0.0
static_lockfree,q26,static-locked,static-lockfree,1.58,1.59,1.0063291139240507,0.6329113924050667
static_lockfree,q27,static-locked,static-lockfree,1.7,1.7,1.0,0.0
static_lockfree,q28,static-locked,static-lockfree,2.81,2.82,1.0035587188612098,0.3558718861209842
static_lockfree,q29,static-locked,static-lockfree,51.14,50.9,0.9953070003910832,-0.46929996089167814
static_lockfree,q30,static-locked,static-lockfree,1.49,1.53,1.0268456375838926,2.684563758389258
static_lockfree,q31,static-locked,static-lockfree,3.53,3.57,1.0113314447592068,1.1331444759206777
static_lockfree,q32,static-locked,static-lockfree,7.29,7.55,1.0356652949245542,3.566529492455417
static_lockfree,q33,static-locked,static-lockfree,37.75,36.89,0.9772185430463576,-2.278145695364242
static_lockfree,q34,static-locked,static-lockfree,18.23,18.58,1.0191991223258363,1.9199122325836315
static_lockfree,q35,static-locked,static-lockfree,18.24,17.85,0.9786184210526317,-2.138157894736825
static_lockfree,q36,static-locked,static-lockfree,4.3,4.15,0.9651162790697676,-3.48837209302324
static_lockfree,q37,static-locked,static-lockfree,2.56,2.58,1.0078125,0.78125
static_lockfree,q38,static-locked,static-lockfree,2.93,2.93,1.0,0.0
static_lockfree,q39,static-locked,static-lockfree,2.6,2.61,1.0038461538461538,0.38461538461538325
static_lockfree,q40,static-locked,static-lockfree,4.21,4.22,1.002375296912114,0.23752969121140222
static_lockfree,q41,static-locked,static-lockfree,1.33,1.34,1.0075187969924813,0.7518796992481258
static_lockfree,q42,static-locked,static-lockfree,1.3,1.35,1.0384615384615385,3.8461538461538547
static_lockfree,q43,static-locked,static-lockfree,1.3,1.3,1.0,0.0
