mode,sum_task-clock,median_task-clock,geomean_task-clock_vs_dynamic,sum_cycles,median_cycles,geomean_cycles_vs_dynamic,sum_instructions,median_instructions,geomean_instructions_vs_dynamic,sum_page-faults,median_page-faults,geomean_page-faults_vs_dynamic,sum_minor-faults,median_minor-faults,geomean_minor-faults_vs_dynamic,sum_major-faults,median_major-faults,geomean_major-faults_vs_dynamic,sum_context-switches,median_context-switches,geomean_context-switches_vs_dynamic,sum_cpu-migrations,median_cpu-migrations,geomean_cpu-migrations_vs_dynamic,sum_ipc,median_ipc,geomean_ipc_vs_dynamic
legacy,9860778.31,98226.79999999999,0.9620389243441939,25614010712788.0,269709482051.0,1.0469876464232593,44367131920116.0,416113188451.0,0.9971896137090219,200211746.0,1923788.5,1.4351503851957115,200211744.0,1923788.5,1.4351500798222132,2.0,0.0,0,20384523.0,134256.5,1.135152912532308,6546.0,147.0,0.9799816090290357,75.20133287514103,1.6863082096689748,0.9524368478612345
dynamic,10001734.57,111567.54500000001,1.0,24438555170749.0,245097746354.5,1.0,44396652102741.0,415949275684.5,1.0,171902273.0,416972.5,1.0,171902270.0,416972.5,1.0,3.0,0.0,1.0,14665776.0,147230.5,1.0,6685.0,149.0,1.0,78.58940508215215,1.890840505435336,1.0
selective-4,9644290.329999998,99448.92,0.9385531732528148,24594855459093.0,247922321175.0,1.0144820959990037,44370014837595.0,416341384365.5,0.9987097795703044,172780957.0,424421.0,1.011161422816946,172780954.0,424421.0,1.0111612270853756,3.0,0.0,0,16406216.0,162488.5,1.1313072254294516,6705.0,149.5,1.0026631052027988,77.49505310701561,1.8657580817190529,0.9844528390487092
selective-base,9756291.440000001,103415.69,0.9641974414243312,24531268641322.0,250113285827.0,1.033503818477798,44439485912363.0,417182060795.5,1.0034384124361022,171989804.0,435074.5,1.0146904170011082,171989802.0,435074.5,1.0146905226560303,2.0,0.0,1.0,17809327.0,204203.5,1.3640992453403407,6588.0,147.0,0.986295694444958,76.35549670848224,1.7715716572153029,0.9709092453224045
selective-gate,9835575.319999995,105532.48,1.010882063988827,24437786093394.0,232895032917.5,1.0184243027445095,44393238249172.0,417085085440.0,1.0038117317249784,171492802.0,419050.5,0.9984615875872656,171492802.0,419050.5,0.9984616991042975,0.0,0.0,0,16126500.0,183097.5,1.2618136455736693,6608.0,147.0,0.9887192993603942,77.59087457087026,1.8207777922626782,0.9856517848404125
selective-gate-cost,9933658.309999999,106620.83499999999,1.0129081935409525,24391968456888.0,242562890579.0,1.0145325249911963,44383680465292.0,416961610194.0,1.0029470278923285,171642480.0,424860.0,1.00286924704934,171642479.0,424860.0,1.0028692854909673,1.0,0.0,0,16177294.0,186109.0,1.2541261528023822,6678.0,147.0,0.9983249993867469,77.70047323840204,1.821142620812705,0.9885804576852099
selective-all,10048924.120000003,106645.365,1.0216658283621092,24327923697823.0,242436045290.5,1.014415429667721,44444585674250.0,416980594299.5,1.0040394078028805,171499386.0,416918.5,1.0039211321353472,171499385.0,416918.5,1.0039212409172562,1.0,0.0,0,16378567.0,184586.0,1.25477761540747,6721.0,149.0,1.0048321458300955,77.71576458010288,1.8521463582927162,0.9897714274040181
static-locked,10382561.82,105368.11,1.1787786212124918,27472333979875.0,304502839525.0,1.4481822950797236,46119305414739.0,457103314792.0,1.1707160397079421,515481258.0,8203680.5,12.802960785999316,515481251.0,8203680.5,12.802962046015184,7.0,0.0,0,20022794.0,137932.5,1.1273495983779416,6669.0,149.0,0.997882100713974,63.68208897288721,1.4054471801102673,0.80840377878221
static-lockfree,10488357.729999999,105364.495,1.1813051419001703,27494204932868.0,305776454892.5,1.4500200237877987,46103607960300.0,457171300921.0,1.1707429383372248,515629538.0,8201214.0,12.802768183679168,515629532.0,8201214.0,12.802769433445384,6.0,0.0,0,19922229.0,135143.0,1.1114798886747954,6563.0,147.5,0.9831567481140893,63.6736660363721,1.406424503857414,0.8073977732245136
