mode,sum_query_medians_seconds,sum_process_medians_seconds,geomean_vs_dynamic,process_geomean_vs_dynamic,geomean_vs_dynamic_ci_low,geomean_vs_dynamic_ci_high,geomean_vs_legacy,faster_than_dynamic_queries,within_2pct_dynamic_queries,slower_than_dynamic_queries,median_rss_gib,p95_rss_gib,max_rss_gib,median_repeat_range_fraction
legacy,281.19,380.9876270368695,0.7669206950570983,0.8089073766282288,0.6668919421015663,0.8700874842263263,1.0,25,12,7,7.6978607177734375,96.4811115264893,150.51096725463867,0.051078846992762966
dynamic,381.40000000000003,488.9169386494905,1.0,1.0,1.0,1.0,1.30391578483294,0,44,0,13.15916633605957,100.58917198181157,150.32408142089844,0.048641770909982826
selective-4,331.15000000000003,431.9916524095461,0.8774884195561211,0.8935675172704063,0.8338238650113956,0.91890006238945,1.1441710012673356,34,6,4,9.984689712524414,97.93514957427983,151.74994659423828,0.043149276858067215
selective-base,330.0599999999999,432.20468151476234,0.8900579419300487,0.9155963152910128,0.8421709589075184,0.9352949985075563,1.1605605998985107,30,7,7,9.666088104248047,97.61279792785649,151.69122314453125,0.05028188455206135
selective-gate,354.62000000000006,458.1973669677973,0.9819055846053107,0.9815756428833485,0.9440388401993128,1.0194879550934723,1.2803221909824805,14,9,21,11.270971298217773,98.95152320861821,150.0111312866211,0.04390170029661192
selective-gate-cost,354.59999999999997,460.87038618233055,0.9783273926964519,1.0026020919699246,0.9379697783902264,1.018802176523694,1.2756565300713578,15,12,17,11.479307174682617,99.09300289154058,151.4826431274414,0.04825972144746551
selective-all,372.88000000000005,470.1563540175557,1.0067202283833978,1.0189408206530588,0.9842313322577598,1.029987445445523,1.3126783966997346,14,10,20,12.024690628051758,99.78399410247808,149.25585174560547,0.03964067278287464
static-locked,274.56,1209.7144130002707,0.7436868133713154,4.212921018317854,0.6374537194137043,0.8552128723731648,0.9697049749269667,25,11,8,31.53256607055664,120.72071361541752,181.44956970214844,0.01897642950676564
static-lockfree,273.84000000000003,1207.2087748246267,0.744328977071469,4.20316113216162,0.6384421129387393,0.8554314383908204,0.9705423023120436,27,9,8,31.53938102722168,120.79008159637455,181.17903518676758,0.018674698795180737
